AC,CL,DE,GA,ID,ML,NE,TP
PF16409.4,,Domain of unknown function (DUF5017),28.80; 28.80;,DUF5017,181,,Family
PF16410.4,,Domain of unknown function (DUF5018),38.10; 38.10;,DUF5018,351,,Family
PF04367.12,,Protein of unknown function (DUF502),20.90; 20.90;,DUF502,106,,Family
PF16412.4,CL0193,Domain of unknown function (DUF5020),36.70; 36.70;,DUF5020,212,,Family
PF16424.4,,Domain of unknown function (DUF5021),25.00; 25.00;,DUF5021,165,,Family
PF16425.4,,Domain of unknown function (DUF5022),221.80; 221.80;,DUF5022,279,,Family
PF16426.4,,Domain of unknown function (DUF5023),25.00; 25.00;,DUF5023,211,,Family
PF16427.4,,Domain of unknown function (DUF5024),25.00; 25.00;,DUF5024,103,,Family
PF16428.4,,Domain of unknown function (DUF5025),25.00; 25.00;,DUF5025,153,,Family
PF16429.4,,Domain of unknown function (DUF5026),25.00; 25.00;,DUF5026,82,,Family
PF16430.4,,Domain of unknown function (DUF5027),25.00; 25.00;,DUF5027,187,,Family
PF16431.4,,Domain of unknown function (DUF5028),29.90; 29.90;,DUF5028,166,,Family
PF16432.4,,Domain of unknown function (DUF5029),25.00; 25.00;,DUF5029,210,,Family
PF04456.11,,Protein of unknown function (DUF503),22.40; 22.40;,DUF503,88,,Family
PF16433.4,,Domain of unknown function (DUF5030),25.00; 25.00;,DUF5030,276,,Family
PF16434.4,,Domain of unknown function (DUF5031),25.00; 25.00;,DUF5031,351,,Family
PF16435.4,,Domain of unknown function (DUF5032),25.00; 25.00;,DUF5032,273,,Family
PF16436.4,,Domain of unknown function (DUF5033),25.00; 25.00;,DUF5033,178,,Family
PF16437.4,,Domain of unknown function (DUF5034),25.00; 25.00;,DUF5034,148,,Family
PF16438.4,,Domain of unknown function (DUF5035),25.00; 25.00;,DUF5035,146,,Family
PF16439.4,,Domain of unknown function (DUF5036),25.00; 25.00;,DUF5036,225,,Family
PF16440.4,,Domain of unknown function (DUF5037),25.00; 25.00;,DUF5037,242,,Family
PF16441.4,,Domain of unknown function (DUF5038),25.00; 25.00;,DUF5038,158,,Family
PF16442.4,,Domain of unknown function (DUF5039),25.00; 25.00;,DUF5039,203,,Family
PF04457.11,,Protein of unknown function (DUF504),22.20; 22.20;,DUF504,55,,Family
PF16443.4,,Domain of unknown function (DUF5040),25.00; 25.00;,DUF5040,227,,Family
PF16444.4,,Domain of unknown function (DUF5041),25.00; 25.00;,DUF5041,192,,Family
PF16445.4,,Domain of unknown function (DUF5042),25.00; 25.00;,DUF5042,434,,Family
PF16446.4,,Domain of unknown function (DUF5043),25.00; 25.00;,DUF5043,155,,Family
PF16447.4,,Domain of unknown function (DUF5044),25.00; 25.00;,DUF5044,178,,Family
PF16464.4,,Domain of unknown function (DUF5045),29.90; 29.90;,DUF5045,85,,Family
PF16465.4,CL0186,Domain of unknown function (DUF5046),25.00; 25.00;,DUF5046,266,,Family
PF16466.4,,Domain of unknown function (DUF5047),25.00; 25.00;,DUF5047,134,,Family
PF16467.4,,Domain of unknown function (DUF5048),32.30; 32.30;,DUF5048,102,,Family
PF16468.4,,Domain of unknown function (DUF5049),28.70; 28.70;,DUF5049,57,,Family
PF04458.11,,Protein of unknown function (DUF505),28.50; 28.50;,DUF505,620,,Family
PF16472.4,CL0186,Domain of unknown function (DUF5050),27.00; 27.00;,DUF5050,282,,Domain
PF16473.4,CL0219,"3' exoribonuclease, RNase T-like",27.00; 27.00;,DUF5051,166,,Domain
PF16475.4,,Domain of unknown function (DUF5052),29.40; 29.40;,DUF5052,199,,Family
PF16476.4,,Domain of unknown function (DUF5053),41.40; 41.40;,DUF5053,59,,Family
PF16477.4,CL0103,Domain of unknown function (DUF5054),37.60; 37.60;,DUF5054,285,,Family
PF16478.4,,Domain of unknown function (DUF5055),25.00; 25.00;,DUF5055,105,,Family
PF16479.4,,Domain of unknown function (DUF5056),28.00; 28.00;,DUF5056,93,,Family
PF16480.4,,Domain of unknown function (DUF5057),27.90; 27.90;,DUF5057,360,,Family
PF16481.4,,Domain of unknown function (DUF5058),28.20; 28.20;,DUF5058,222,,Family
PF16502.4,,Domain of unknown function (DUF5059),25.00; 25.00;,DUF5059,622,,Family
PF16586.4,,Domain of unknown function (DUF5060),27.20; 27.20;,DUF5060,70,,Domain
PF16587.4,CL0500,17 kDa common-antigen outer membrane protein,26.80; 26.80;,DUF5061,103,,Family
PF16691.4,,Domain of unknown function (DUF5062),27.00; 27.00;,DUF5062,83,,Domain
PF16702.4,,Domain of unknown function (DUF5063),27.00; 27.00;,DUF5063,165,,Family
PF16703.4,,Domain of unknown function (DUF5064),27.00; 27.00;,DUF5064,117,,Domain
PF16723.4,,Domain of unknown function (DUF5065),26.80; 26.80;,DUF5065,152,,Domain
PF16728.4,,Domain of unknown function (DUF5066),27.00; 27.00;,DUF5066,214,,Domain
PF16729.4,CL0524,Domain of unknown function (DUF5067),27.00; 27.00;,DUF5067,125,,Domain
PF16781.4,,Domain of unknown function (DUF5068),26.90; 26.90;,DUF5068,187,,Domain
PF16798.4,,Domain of unknown function (DUF5069),27.00; 27.00;,DUF5069,133,,Domain
PF04368.12,,Protein of unknown function (DUF507),23.00; 23.00;,DUF507,182,,Family
PF16802.4,,Domain of unknown function (DUF5070),27.00; 27.00;,DUF5070,154,,Family
PF16804.4,,Domain of unknown function (DUF5071),27.00; 27.00;,DUF5071,119,,Domain
PF16807.4,,Domain of unknown function (DUF5072),27.00; 27.00;,DUF5072,118,,Domain
PF16817.4,,Domain of unknown function (DUF5073),27.00; 27.00;,DUF5073,121,,Domain
PF16819.4,,Domain of unknown function (DUF5074),27.20; 27.20;,DUF5074,114,,Family
PF16825.4,CL0056,IGP family C-type lectin domain,22.60; 22.60;,DUF5075,173,,Domain
PF16826.4,,Domain of unknown function (DUF5076),25.00; 25.00;,DUF5076,84,,Family
PF16871.4,CL0202,Domain of unknown function (DUF5077),27.30; 27.30;,DUF5077,191,,Family
PF16877.4,,Domain of unknown function (DUF5078),27.00; 27.00;,DUF5078,119,,Family
PF16882.4,,Domain of unknown function (DUF5079),27.00; 27.00;,DUF5079,217,,Family
PF04370.11,,Domain of unknown function (DUF508) ,25.00; 25.00;,DUF508,149,,Family
PF16883.4,,Domain of unknown function (DUF5080),27.00; 27.00;,DUF5080,197,,Family
PF16887.4,,Domain of unknown function (DUF5081),27.00; 27.00;,DUF5081,231,,Family
PF16888.4,,Domain of unknown function (DUF5082),33.50; 33.50;,DUF5082,123,,Family
PF16890.4,,Domain of unknown function (DUF5083),27.00; 27.00;,DUF5083,157,,Family
PF16894.4,,Domain of unknown function (DUF5084),27.00; 27.00;,DUF5084,130,,Family
PF16895.4,,Domain of unknown function (DUF5085),30.00; 30.00;,DUF5085,141,,Family
PF16985.4,,Domain of unknown function (DUF5086),27.00; 27.00;,DUF5086,133,,Domain
PF17006.4,,Domain of unknown function (DUF5087),27.00; 27.00;,DUF5087,292,,Family
PF17008.4,,Domain of unknown function (DUF5088),29.40; 29.40;,DUF5088,186,,Family
PF17002.4,,Domain of unknown function (DUF5089),36.10; 36.10;,DUF5089,193,,Family
PF17009.4,,Domain of unknown function (DUF5090),27.00; 27.00;,DUF5090,188,,Family
PF17012.4,,Domain of unknown function (DUF5091),27.00; 27.00;,DUF5091,147,,Family
PF17010.4,,Domain of unknown function (DUF5092),27.00; 27.00;,DUF5092,163,,Family
PF17011.4,,Domain of unknown function (DUF5093),27.00; 27.00;,DUF5093,131,,Family
PF17015.4,,Domain of unknown function (DUF5094),30.40; 30.40;,DUF5094,178,,Family
PF17016.4,,Domain of unknown function (DUF5095),27.00; 27.00;,DUF5095,241,,Family
PF17019.4,,Domain of unknown function (DUF5096),27.00; 27.00;,DUF5096,192,,Family
PF17020.4,,Domain of unknown function (DUF5097),29.70; 29.70;,DUF5097,119,,Family
PF17023.4,,Domain of unknown function (DUF5098),27.00; 27.00;,DUF5098,463,,Family
PF17025.4,,Domain of unknown function (DUF5099),27.00; 27.00;,DUF5099,109,,Family
PF17029.4,,Domain of unknown function (DUF5100),27.00; 27.00;,DUF5100,126,,Family
PF17031.4,,Domain of unknown function (DUF5101),27.00; 27.00;,DUF5101,99,,Family
PF17104.4,,Domain of unknown function (DUF5102),30.00; 30.00;,DUF5102,289,,Family
PF17116.4,,Domain of unknown function (DUF5103),27.00; 27.00;,DUF5103,288,,Family
PF17117.4,CL0051,Domain of unknown function (DUF5104),27.00; 27.00;,DUF5104,108,,Family
PF17118.4,CL0051,Domain of unknown function (DUF5105),30.00; 30.00;,DUF5105,189,,Family
PF17127.3,,Domain of unknown function (DUF5106),28.00; 28.00;,DUF5106,153,,Family
PF17128.3,CL0103,Domain of unknown function (DUF5107),24.40; 24.40;,DUF5107,295,,Family
PF17133.3,,Domain of unknown function (DUF5108),27.00; 27.00;,DUF5108,212,,Family
PF17134.3,,Domain of unknown function (DUF5109),27.00; 27.00;,DUF5109,114,,Family
PF17137.3,,Domain of unknown function (DUF5110),27.00; 27.00;,DUF5110,72,,Family
PF17138.3,,Domain of unknown function (DUF5111),31.30; 31.30;,DUF5111,121,,Family
PF17139.3,,Domain of unknown function (DUF5112),27.00; 27.00;,DUF5112,266,,Family
PF17140.3,,Domain of unknown function (DUF5113),27.00; 27.00;,DUF5113,162,,Family
PF17141.3,,Domain of unknown function (DUF5114),27.00; 27.00;,DUF5114,93,,Family
PF17142.3,,Domain of unknown function (DUF5115),28.00; 28.00;,DUF5115,259,,Family
PF17148.3,,Domain of unknown function (DUF5117),27.00; 27.00;,DUF5117,189,,Family
PF17162.3,,Domain of unknown function (DUF5118),27.00; 27.00;,DUF5118,50,,Family
PF17145.3,CL0450,Domain of unknown function (DUF5119),27.00; 27.00;,DUF5119,196,,Family
PF04459.11,,Protein of unknown function (DUF512),25.00; 25.00;,DUF512,199,,Family
PF17165.3,,Domain of unknown function (DUF5121),23.00; 23.00;,DUF5121,114,,Family
PF17164.3,CL0186,Domain of unknown function (DUF5122) beta-propeller,27.00; 13.90;,DUF5122,36,,Repeat
PF17161.3,,Domain of unknown function (DUF5123),34.90; 34.90;,DUF5123,115,,Family
PF17160.3,,Domain of unknown function (DUF5124),21.80; 21.80;,DUF5124,100,,Family
PF17163.3,,Domain of unknown function (DUF5125),27.00; 27.00;,DUF5125,190,,Family
PF17166.3,,Domain of unknown function (DUF5126),27.00; 27.00;,DUF5126,104,,Family
PF17168.3,,Domain of unknown function (DUF5127),28.00; 28.00;,DUF5127,227,,Family
PF17170.3,CL0186,6-bladed beta-propeller,28.60; 28.60;,DUF5128,330,,Domain
PF17173.3,CL0063,Domain of unknown function (DUF5129),27.30; 27.30;,DUF5129,337,,Family
PF17174.3,CL0063,Domain of unknown function (DUF5130),27.00; 27.00;,DUF5130,136,,Family
PF07505.10,,Protein of unknown function (DUF5131),28.90; 28.90;,DUF5131,247,,Family
PF17195.3,,Protein of unknown function (DUF5132),25.00; 25.00;,DUF5132,47,,Family
PF17196.3,,Protein of unknown function (DUF5133),25.00; 25.00;,DUF5133,65,,Family
PF17197.3,,Domain of unknown function (DUF5134),29.00; 29.00;,DUF5134,150,,Family
PF17199.3,,Protein of unknown function (DUF5136),46.50; 46.50;,DUF5136,30,,Family
PF17220.2,,Protein of unknown function (DUF5137),25.00; 25.00;,DUF5137,85,,Family
PF04415.11,,Protein of unknown function (DUF515),29.00; 29.00;,DUF515,449,,Family
PF04461.12,,Protein of unknown function (DUF520),23.20; 23.20;,DUF520,161,,Family
PF04412.12,,Protein of unknown function (DUF521),31.50; 31.50;,DUF521,401,,Family
PF04463.11,,Protein of unknown function (DUF523),34.40; 34.40;,DUF523,137,,Family
PF04379.13,,ApaG domain ,19.30; 19.30;,DUF525,87,,Family
PF04409.11,,Protein of unknown function (DUF530),20.80; 20.80;,DUF530,521,,Family
PF17224.2,,Domain of unknown function (DUF5300),83.00; 83.00;,DUF5300,98,,Family
PF17225.2,,Domain of unknown function (DUF5300),23.10; 23.10;,DUF5301,97,,Family
PF17227.1,,Family of unknown function (DUF5302),25.00; 25.00;,DUF5302,52,,Family
PF17229.1,,Region of unknown function (DUF5303),25.00; 25.00;,DUF5303,106,,Disordered
PF17230.1,,Family of unknown function (DUF5304),26.80; 26.80;,DUF5304,149,,Family
PF17231.1,,Family of unknown function (DUF5305),29.00; 29.00;,DUF5305,218,,Family
PF17232.1,,Family of unknown function (DUF5306),26.20; 26.20;,DUF5306,82,,Family
PF17233.1,,Family of unknown function (DUF5308),30.80; 30.80;,DUF5308,165,,Family
PF17236.1,,Family of unknown function (DUF5309),25.80; 25.80;,DUF5309,280,,Family
PF04407.11,,Protein of unknown function (DUF531),25.00; 25.00;,DUF531,170,,Family
PF17237.1,,Family of unknown function (DUF5310),25.00; 25.00;,DUF5310,44,,Family
PF17238.1,,Family of unknown function (DUF5311),25.00; 25.00;,DUF5311,194,,Family
PF17239.1,,Family of unknown function (DUF5312),25.00; 25.00;,DUF5312,553,,Family
PF17240.1,,Family of unknown function (DUF5313),27.40; 27.40;,DUF5313,123,,Family
PF17241.1,,Family of unknown function (DUF5314),25.00; 25.00;,DUF5314,195,,Family
PF17242.1,,Disordered region of unknown function (DUF5315),27.00; 27.00;,DUF5315,77,,Disordered
PF17247.1,,Family of unknown function (DUF5316),28.70; 28.70;,DUF5316,74,,Family
PF17248.1,,Family of unknown function (DUF5317),25.00; 25.00;,DUF5317,150,,Family
PF17249.1,,Family of unknown function (DUF5318),31.00; 31.00;,DUF5318,131,,Family
PF17252.1,,Family of unknown function (DUF5319),27.00; 27.00;,DUF5319,121,,Family
PF17253.1,,Family of unknown function (DUF5320),27.00; 27.00;,DUF5320,97,,Family
PF17254.1,,Family of unknown function (DUF5321),27.00; 27.00;,DUF5321,160,,Family
PF17255.1,,Family of unknown function (DUF5322),29.90; 29.90;,DUF5322,133,,Family
PF17257.1,,Family of unknown function (DUF5323),25.00; 25.00;,DUF5323,62,,Family
PF17258.1,,Family of unknown function (DUF5324),27.00; 27.00;,DUF5324,220,,Family
PF17259.1,,Family of unknown function (DUF5325),25.00; 25.00;,DUF5325,61,,Family
PF17260.1,,Family of unknown function (DUF5326),27.00; 27.00;,DUF5326,70,,Family
PF17261.1,,Family of unknown function (DUF5327),27.00; 27.00;,DUF5327,99,,Family
PF17262.1,,Family of unknown function (DUF5328),25.00; 25.00;,DUF5328,151,,Family
PF17263.1,,Family of unknown function (DUF5329),27.00; 27.00;,DUF5329,93,,Family
PF04391.11,CL0414,Protein of unknown function (DUF533),29.60; 29.60;,DUF533,179,,Family
PF17264.1,,Family of unknown function (DUF5330),27.50; 27.50;,DUF5330,65,,Family
PF17265.1,,Family of unknown function (DUF5331),27.00; 27.00;,DUF5331,113,,Family
PF17266.1,,Family of unknown function (DUF5332),27.00; 27.00;,DUF5332,149,,Family
PF17267.1,,Family of unknown function (DUF5333),27.00; 27.00;,DUF5333,110,,Family
PF17268.1,,Family of unknown function (DUF5334),25.00; 25.00;,DUF5334,71,,Family
PF17269.1,,Family of unknown function (DUF5335),27.00; 27.00;,DUF5335,114,,Family
PF17270.1,,Family of unknown function (DUF5336),25.00; 25.00;,DUF5336,169,,Family
PF17272.1,,Family of unknown function (DUF5337),27.00; 27.00;,DUF5337,74,,Family
PF17273.1,,Family of unknown function (DUF5338),25.90; 25.90;,DUF5338,69,,Family
PF17274.1,,Family of unknown function (DUF5339),27.70; 27.70;,DUF5339,70,,Family
PF17275.1,,Family of unknown function (DUF5340),27.00; 27.00;,DUF5340,70,,Family
PF17276.1,,Family of unknown function (DUF5341),25.00; 25.00;,DUF5341,161,,Family
PF17277.1,,Family of unknown function (DUF5342),25.90; 25.90;,DUF5342,69,,Family
PF17278.1,,Family of unknown function (DUF5343),27.00; 27.00;,DUF5343,139,,Family
PF17279.1,,Family of unknown function (DUF5344),27.00; 27.00;,DUF5344,87,,Family
PF17280.1,,Family of unknown function (DUF5345),27.00; 27.00;,DUF5345,77,,Family
PF17281.1,,Family of unknown function (DUF5346),27.00; 27.00;,DUF5346,102,,Family
PF17282.1,,Family of unknown function (DUF5347),25.00; 25.00;,DUF5347,102,,Family
PF17295.1,,Domain of unknown function (DUF5348),22.20; 22.20;,DUF5348,69,,Domain
PF17298.1,,Family of unknown function (DUF5349),25.00; 25.00;,DUF5349,362,,Family
PF04393.12,,Protein of unknown function (DUF535),19.10; 19.10;,DUF535,281,,Family
PF17299.1,,Family of unknown function (DUF5350),25.00; 25.00;,DUF5350,57,,Family
PF17302.1,,Family of unknown function (DUF5351),25.00; 25.00;,DUF5351,29,,Family
PF17303.1,,Family of unknown function (DUF5352),25.60; 25.60;,DUF5352,169,,Family
PF17304.1,,Family of unknown function (DUF5353),27.00; 27.00;,DUF5353,67,,Family
PF17305.1,,Family of unknown function (DUF5354),26.70; 26.70;,DUF5354,124,,Family
PF17306.1,,Family of unknown function (DUF5355),27.00; 27.00;,DUF5355,329,,Family
PF17309.1,,Family of unknown function (DUF5356),25.70; 25.70;,DUF5356,136,,Family
PF17310.1,,Family of unknown function (DUF5357),25.00; 25.00;,DUF5357,322,,Family
PF17311.1,,Family of unknown function (DUF5358),25.00; 25.00;,DUF5358,160,,Family
PF17313.1,,Family of unknown function (DUF5359),25.00; 25.00;,DUF5359,56,,Family
PF04394.13,,"Protein of unknown function, DUF536",20.70; 20.70;,DUF536,43,,Family
PF17314.1,,Family of unknown function (DUF5360),25.00; 25.00;,DUF5360,127,,Family
PF17318.1,,Family of unknown function (DUF5361),25.00; 25.00;,DUF5361,87,,Family
PF17319.1,,Family of unknown function (DUF5362),25.00; 25.00;,DUF5362,94,,Family
PF17320.1,,Family of unknown function (DUF5363),25.80; 25.80;,DUF5363,54,,Family
PF17322.1,,Family of unknown function (DUF5364),25.00; 25.00;,DUF5364,185,,Family
PF17326.1,,Family of unknown function (DUF5365),26.30; 26.30;,DUF5365,116,,Family
PF17328.1,,Family of unknown function (DUF5366),25.00; 25.00;,DUF5366,158,,Family
PF17329.1,,Family of unknown function (DUF5367),25.00; 25.00;,DUF5367,98,,Family
PF17336.1,,Family of unknown function (DUF5368),25.00; 25.00;,DUF5368,111,,Family
PF17339.1,,Family of unknown function (DUF5369),27.00; 27.00;,DUF5369,128,,Family
PF17340.1,,Family of unknown function (DUF5370),25.00; 25.00;,DUF5370,63,,Family
PF17341.1,,Family of unknown function (DUF5371),25.00; 25.00;,DUF5371,65,,Family
PF17342.1,,Family of unknown function (DUF5372),25.00; 25.00;,DUF5372,78,,Family
PF17343.1,,Family of unknown function (DUF5373),28.70; 28.70;,DUF5373,182,,Family
PF17344.1,,Family of unknown function (DUF5374),25.00; 25.00;,DUF5374,40,,Family
PF17345.1,,Family of unknown function (DUF5375),30.00; 30.00;,DUF5375,106,,Family
PF17346.1,,Family of unknown function (DUF5376),25.00; 25.00;,DUF5376,128,,Family
PF17347.1,,Family of unknown function (DUF5377),25.00; 25.00;,DUF5377,96,,Family
PF17349.1,,Family of unknown function (DUF5378),25.70; 25.70;,DUF5378,295,,Family
PF17350.1,,Family of unknown function (DUF5379),25.00; 25.00;,DUF5379,90,,Family
PF04398.11,,"Protein of unknown function, DUF538",25.00; 25.00;,DUF538,112,,Family
PF17351.1,,Family of unknown function (DUF5380),29.00; 29.00;,DUF5380,85,,Family
PF17353.1,,Family of unknown function (DUF5381),26.00; 26.00;,DUF5381,169,,Family
PF17354.1,,Family of unknown function (DUF5382),25.00; 25.00;,DUF5382,418,,Family
PF17355.1,,Family of unknown function (DUF5383),27.00; 27.00;,DUF5383,124,,Family
PF17358.1,,Family of unknown function (DUF5384),25.00; 25.00;,DUF5384,143,,Family
PF17359.1,,Family of unknown function (DUF5385),25.00; 25.00;,DUF5385,220,,Family
PF17360.1,,Family of unknown function (DUF5386),27.30; 27.30;,DUF5386,170,,Family
PF17361.1,,Family of unknown function (DUF5387),27.00; 27.00;,DUF5387,222,,Family
PF17363.1,,Family of unknown function (DUF5388),26.10; 26.10;,DUF5388,70,,Family
PF17364.1,,Family of unknown function (DUF5389),25.00; 25.00;,DUF5389,104,,Family
PF17365.1,,Family of unknown function (DUF5390),25.00; 25.00;,DUF5390,141,,Family
PF17369.1,,Family of unknown function (DUF5391),25.70; 25.70;,DUF5391,135,,Family
PF17370.1,,Family of unknown function (DUF5392),25.00; 25.00;,DUF5392,139,,Family
PF17371.1,,Family of unknown function (DUF5393),25.00; 25.00;,DUF5393,653,,Family
PF17372.1,,Family of unknown function (DUF5394),25.00; 25.00;,DUF5394,237,,Family
PF17373.1,,Family of unknown function (DUF5395),25.00; 25.00;,DUF5395,81,,Family
PF17374.1,,Family of unknown function (DUF5396),25.00; 25.00;,DUF5396,947,,Family
PF17375.1,,Family of unknown function (DUF5397),26.00; 26.00;,DUF5397,64,,Family
PF17376.1,,Family of unknown function (DUF5398),28.00; 28.00;,DUF5398,80,,Family
PF17377.1,,Family of unknown function (DUF5399),25.00; 25.00;,DUF5399,134,,Family
PF17379.1,,Family of unknown function (DUF5400),25.00; 25.00;,DUF5400,100,,Family
PF17380.1,,Family of unknown function (DUF5401),25.00; 25.00;,DUF5401,721,,Family
PF17393.1,,Family of unknown function (DUF5402),25.00; 25.00;,DUF5402,119,,Family
PF17395.1,,Family of unknown function (DUF5403),25.00; 25.00;,DUF5403,93,,Family
PF17397.1,,Family of unknown function (DUF5404),25.80; 25.80;,DUF5404,145,,Family
PF17399.1,,Domain of unknown function (DUF5405),21.60; 21.60;,DUF5405,88,,Domain
PF17400.1,,Family of unknown function (DUF5406),25.00; 25.00;,DUF5406,114,,Family
PF17401.1,,Family of unknown function (DUF5407),25.00; 25.00;,DUF5407,74,,Family
PF17402.1,,Family of unknown function (DUF5408),25.00; 25.00;,DUF5408,63,,Family
PF17421.1,,Family of unknown function (DUF5409),25.00; 25.00;,DUF5409,88,,Family
PF17422.1,,Family of unknown function (DUF5410),25.00; 25.00;,DUF5410,353,,Family
PF17424.1,,Family of unknown function (DUF5411),30.00; 30.00;,DUF5411,136,,Family
PF17428.1,,Family of unknown function (DUF5412),25.00; 25.00;,DUF5412,118,,Family
PF17434.1,,Family of unknown function (DUF5413),31.00; 31.00;,DUF5413,133,,Family
PF17435.1,,Family of unknown function (DUF5414),25.00; 25.00;,DUF5414,183,,Family
PF17436.1,,Family of unknown function (DUF5415),25.00; 25.00;,DUF5415,66,,Family
PF17437.1,,Family of unknown function (DUF5416),25.00; 25.00;,DUF5416,166,,Family
PF17438.1,,Family of unknown function (DUF5417),26.00; 26.00;,DUF5417,91,,Family
PF17439.1,,Family of unknown function (DUF5418),25.00; 25.00;,DUF5418,151,,Family
PF17441.1,,Family of unknown function (DUF5419),25.00; 25.00;,DUF5419,80,,Family
PF17457.1,,Family of unknown function (DUF5420),26.00; 26.00;,DUF5420,185,,Family
PF17458.1,,Family of unknown function (DUF5421),25.00; 25.00;,DUF5421,283,,Family
PF17459.1,,Family of unknown function (DUF5422),25.00; 25.00;,DUF5422,153,,Family
PF17461.1,,Family of unknown function (DUF5423),24.80; 24.80;,DUF5423,363,,Family
PF17462.1,,Family of unknown function (DUF5424),25.00; 25.00;,DUF5424,174,,Family
PF17472.1,,Family of unknown function (DUF5425),25.00; 25.00;,DUF5425,76,,Family
PF17473.1,,Family of unknown function (DUF5426),25.00; 25.00;,DUF5426,137,,Family
PF10310.8,,Family of unknown function (DUF5427),23.90; 23.90;,DUF5427,465,,Family
PF17493.1,,Family of unknown function (DUF5428),27.00; 27.00;,DUF5428,63,,Family
PF17494.1,,Family of unknown function (DUF5429),27.00; 27.00;,DUF5429,76,,Family
PF04418.11,,Domain of unknown function (DUF543),21.50; 21.50;,DUF543,74,,Domain
PF17495.1,,Family of unknown function (DUF5430),27.00; 27.00;,DUF5430,106,,Family
PF17496.1,,Family of unknown function (DUF5431),27.00; 27.00;,DUF5431,70,,Family
PF17497.1,,Family of unknown function (DUF5432),27.00; 27.00;,DUF5432,74,,Family
PF17498.1,,Family of unknown function (DUF5433),27.00; 27.00;,DUF5433,67,,Family
PF17502.1,,Family of unknown function (DUF5434),27.00; 27.00;,DUF5434,186,,Family
PF17503.1,,Family of unknown function (DUF5435),27.00; 27.00;,DUF5435,208,,Family
PF17504.1,,Family of unknown function (DUF5436),27.00; 27.00;,DUF5436,79,,Family
PF17505.1,,Family of unknown function (DUF5437),27.00; 27.00;,DUF5437,60,,Family
PF17506.1,,Family of unknown function (DUF5438),27.00; 27.00;,DUF5438,71,,Family
PF17507.1,,Family of unknown function (DUF5439),27.00; 27.00;,DUF5439,75,,Family
PF17509.1,,Family of unknown function (DUF5440),27.00; 27.00;,DUF5440,93,,Family
PF17513.1,,Family of unknown function (DUF5441),27.00; 27.00;,DUF5441,189,,Family
PF17514.1,,Family of unknown function (DUF5442),27.00; 27.00;,DUF5442,107,,Family
PF17518.1,,Family of unknown function (DUF5443),25.00; 25.00;,DUF5443,344,,Family
PF17519.1,,Family of unknown function (DUF5444),25.00; 25.00;,DUF5444,62,,Family
PF17520.1,,Family of unknown function (DUF5445),25.00; 25.00;,DUF5445,52,,Family
PF17522.1,,Family of unknown function (DUF5446),26.20; 26.20;,DUF5446,72,,Family
PF17525.1,,Family of unknown function (DUF5447),25.00; 25.00;,DUF5447,92,,Family
PF17526.1,,Family of unknown function (DUF5448),25.00; 25.00;,DUF5448,118,,Family
PF17528.1,,Family of unknown function (DUF5449),30.40; 30.40;,DUF5449,174,,Family
PF17529.1,,Family of unknown function (DUF5450),25.00; 25.00;,DUF5450,161,,Family
PF17532.1,,Family of unknown function (DUF5451),25.00; 25.00;,DUF5451,148,,Family
PF17533.1,,Family of unknown function (DUF5452),46.30; 46.30;,DUF5452,169,,Family
PF17534.1,,Family of unknown function (DUF5453),25.00; 25.00;,DUF5453,186,,Family
PF17535.1,,Family of unknown function (DUF5454),25.00; 25.00;,DUF5454,221,,Family
PF17537.1,,Family of unknown function (DUF5455),25.00; 25.00;,DUF5455,99,,Family
PF17539.1,,Family of unknown function (DUF5456),25.00; 25.00;,DUF5456,152,,Family
PF17540.1,,Family of unknown function (DUF5457),25.00; 25.00;,DUF5457,134,,Family
PF17541.1,,Family of unknown function (DUF5458),25.00; 25.00;,DUF5458,430,,Family
PF17543.1,,Family of unknown function (DUF5459),25.00; 25.00;,DUF5459,609,,Family
PF17544.1,,Family of unknown function (DUF5460),25.00; 25.00;,DUF5460,375,,Family
PF17545.1,,Family of unknown function (DUF5461),25.00; 25.00;,DUF5461,93,,Family
PF17547.1,,Family of unknown function (DUF5462),25.00; 25.00;,DUF5462,167,,Family
PF17551.1,,Family of unknown function (DUF5463),30.00; 30.00;,DUF5463,32,,Family
PF17552.1,,Family of unknown function (DUF5464),25.00; 25.00;,DUF5464,51,,Family
PF17553.1,,Family of unknown function (DUF5465),25.00; 25.00;,DUF5465,19,,Family
PF17554.1,,Family of unknown function (DUF5466),25.00; 25.00;,DUF5466,57,,Family
PF17555.1,,Family of unknown function (DUF5467),25.70; 25.70;,DUF5467,275,,Family
PF17559.1,,Family of unknown function (DUF5468),27.00; 27.00;,DUF5468,57,,Family
PF17561.1,,Family of unknown function (DUF5469),26.80; 26.80;,DUF5469,148,,Family
PF04784.13,,"Protein of unknown function, DUF547",20.20; 20.20;,DUF547,124,,Family
PF17564.1,,Family of unknown function (DUF5470),25.00; 25.00;,DUF5470,73,,Family
PF17565.1,,Family of unknown function (DUF5471),25.00; 25.00;,DUF5471,70,,Family
PF17566.1,,Family of unknown function (DUF5472),25.00; 25.00;,DUF5472,73,,Family
PF17567.1,,Family of unknown function (DUF5473),109.10; 109.10;,DUF5473,106,,Family
PF17568.1,,Family of unknown function (DUF5474),25.00; 25.00;,DUF5474,77,,Family
PF17569.1,,Family of unknown function (DUF5475),25.00; 25.00;,DUF5475,81,,Family
